# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.134861,100,-31.011455,-7.5,0,25,0.162969,0
0.1,4.133662,99.99537,-31.002462,-7.5,-0.000208,25.000305,0.170716,-0.016179
0.2,4.132484,99.990741,-30.993631,-7.5,-0.000417,25.000594,0.1783,-0.031532
0.3,4.131328,99.986111,-30.984959,-7.5,-0.000625,25.000868,0.185725,-0.046124
0.4,4.130192,99.981481,-30.976443,-7.5,-0.000833,25.00113,0.192994,-0.060014
0.5,4.129077,99.976852,-30.96808,-7.5,-0.001042,25.001379,0.200112,-0.073255
0.6,4.127982,99.972222,-30.959865,-7.5,-0.00125,25.001617,0.20708,-0.085895
0.7,4.126906,99.967593,-30.951796,-7.5,-0.001458,25.001845,0.213903,-0.097978
0.8,4.125849,99.962963,-30.943869,-7.5,-0.001667,25.002063,0.220583,-0.109545
0.9,4.124811,99.958333,-30.936083,-7.5,-0.001875,25.002271,0.227124,-0.12063
1,4.123791,99.953704,-30.928432,-7.5,-0.002083,25.002472,0.233528,-0.131269
1.1,4.122789,99.949074,-30.920916,-7.5,-0.002292,25.002664,0.239799,-0.14149
1.2,4.121804,99.944444,-30.91353,-7.5,-0.0025,25.002849,0.245939,-0.151322
1.3,4.120865,99.939815,-30.906491,-7.5,-0.002708,25.003027,0.251839,-0.160785
1.4,4.119944,99.935185,-30.899578,-7.5,-0.002917,25.003199,0.257614,-0.169895
1.5,4.119038,99.930556,-30.892787,-7.5,-0.003125,25.003364,0.263266,-0.178677
1.6,4.118149,99.925926,-30.886116,-7.5,-0.003333,25.003524,0.268799,-0.187149
1.7,4.117275,99.921296,-30.879562,-7.5,-0.003542,25.003678,0.274215,-0.195331
1.8,4.116416,99.916667,-30.873123,-7.5,-0.00375,25.003827,0.279516,-0.203239
1.9,4.115573,99.912037,-30.866796,-7.5,-0.003958,25.003971,0.284705,-0.210888
