# Configuration: STAG 12 Pack (Pack 3S4P) @ 60.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.152417,100,-20.762086,-5,0,25,0.020864,1858.801833
0.1,4.1522,99.996914,-20.761002,-5,-0.000139,28.392342,0.008711,1678.639234
0.2,4.15202,99.993827,-20.760098,-5,-0.000278,31.455865,-0.002357,1515.93971
0.3,4.15186,99.990741,-20.759299,-5,-0.000417,34.222443,-0.012387,1369.01058
0.4,4.151712,99.987654,-20.758559,-5,-0.000556,36.720857,-0.021448,1236.323228
0.5,4.151571,99.984568,-20.757853,-5,-0.000694,38.977102,-0.029614,1116.497204
0.6,4.151445,99.981481,-20.757227,-5,-0.000833,41.01465,-0.034743,1008.285806
0.7,4.151322,99.978395,-20.756609,-5,-0.000972,42.854707,-0.037283,910.562926
0.8,4.151183,99.975309,-20.755917,-5,-0.001111,44.516415,-0.039484,822.311898
0.9,4.151032,99.972222,-20.755158,-5,-0.00125,46.017061,-0.041378,742.614647
1,4.150868,99.969136,-20.754339,-5,-0.001389,47.372256,-0.042997,670.642087
1.1,4.150694,99.966049,-20.753468,-5,-0.001528,48.596099,-0.044369,605.645488
1.2,4.15051,99.962963,-20.752551,-5,-0.001667,49.701321,-0.04552,546.948694
1.3,4.150319,99.959877,-20.751595,-5,-0.001806,50.699418,-0.046474,493.941089
1.4,4.150121,99.95679,-20.750606,-5,-0.001944,51.600776,-0.047251,446.071239
1.5,4.149918,99.953704,-20.749589,-5,-0.002083,52.414769,-0.047871,402.841159
1.6,4.14971,99.950617,-20.748548,-5,-0.002222,53.149867,-0.048351,363.801134
1.7,4.149498,99.947531,-20.747489,-5,-0.002361,53.813716,-0.048707,328.545037
1.8,4.149283,99.944444,-20.746414,-5,-0.0025,54.413222,-0.048953,296.706106
1.9,4.149065,99.941358,-20.745327,-5,-0.002639,54.954621,-0.049102,267.953127
2,4.148846,99.938272,-20.744231,-5,-0.002778,55.443546,-0.049164,241.986992
2.1,4.148626,99.935185,-20.743129,-5,-0.002917,55.885083,-0.049151,218.537582
2.2,4.148405,99.932099,-20.742023,-5,-0.003056,56.283825,-0.049071,197.360961
2.3,4.148183,99.929012,-20.740915,-5,-0.003194,56.643919,-0.048932,178.236838
2.4,4.147961,99.925926,-20.739807,-5,-0.003333,56.969112,-0.048741,160.966271
2.5,4.14774,99.92284,-20.738701,-5,-0.003472,57.262787,-0.048507,145.369604
2.6,4.147519,99.919753,-20.737597,-5,-0.003611,57.527999,-0.048233,131.284592
2.7,4.147299,99.916667,-20.736497,-5,-0.00375,57.767505,-0.047926,118.564718
2.8,4.147081,99.91358,-20.735403,-5,-0.003889,57.983799,-0.04759,107.077664
2.9,4.146863,99.910494,-20.734315,-5,-0.004028,58.179129,-0.047229,96.70394
