# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,12.404582,100,-372.137461,-30,0,25,1.95563,0
0.1,12.400985,99.99537,-372.029542,-30,-0.000833,25.000305,2.048589,-0.194143
0.2,12.397452,99.990741,-371.923573,-30,-0.001667,25.000594,2.139597,-0.378383
0.3,12.393984,99.986111,-371.819513,-30,-0.0025,25.000868,2.228699,-0.553493
0.4,12.390577,99.981481,-371.717321,-30,-0.003333,25.00113,2.315933,-0.720173
0.5,12.387232,99.976852,-371.616956,-30,-0.004167,25.001379,2.401342,-0.879064
0.6,12.383946,99.972222,-371.518378,-30,-0.005,25.001617,2.484963,-1.030743
0.7,12.380718,99.967593,-371.42155,-30,-0.005833,25.001845,2.566836,-1.17574
0.8,12.377548,99.962963,-371.326433,-30,-0.006667,25.002063,2.646999,-1.314534
0.9,12.374433,99.958333,-371.232991,-30,-0.0075,25.002271,2.725487,-1.447563
1,12.371373,99.953704,-371.141187,-30,-0.008333,25.002472,2.802338,-1.575224
1.1,12.368366,99.949074,-371.050987,-30,-0.009167,25.002664,2.877586,-1.697881
1.2,12.365412,99.944444,-370.962354,-30,-0.01,25.002849,2.951266,-1.815866
1.3,12.362596,99.939815,-370.877892,-30,-0.010833,25.003027,3.022067,-1.929414
1.4,12.359831,99.935185,-370.794932,-30,-0.011667,25.003199,3.091367,-2.038745
1.5,12.357115,99.930556,-370.713441,-30,-0.0125,25.003364,3.159198,-2.144124
1.6,12.354446,99.925926,-370.633388,-30,-0.013333,25.003524,3.225592,-2.245792
1.7,12.351825,99.921296,-370.554741,-30,-0.014167,25.003678,3.290579,-2.343971
1.8,12.349249,99.916667,-370.47747,-30,-0.015,25.003827,3.354191,-2.438866
1.9,12.346718,99.912037,-370.401547,-30,-0.015833,25.003971,3.416456,-2.530662
2,12.344231,99.907407,-370.32694,-30,-0.016667,25.00411,3.477405,-2.61953
2.1,12.341787,99.902778,-370.253623,-30,-0.0175,25.004245,3.537064,-2.705629
2.2,12.339386,99.898148,-370.181567,-30,-0.018333,25.004376,3.595462,-2.789102
2.3,12.337025,99.893519,-370.110745,-30,-0.019167,25.004503,3.652627,-2.870085
2.4,12.334704,99.888889,-370.041131,-30,-0.02,25.004627,3.708584,-2.948699
2.5,12.332423,99.884259,-369.972699,-30,-0.020833,25.004747,3.76336,-3.025058
2.6,12.330181,99.87963,-369.905422,-30,-0.021667,25.004863,3.81698,-3.099269
2.7,12.327976,99.875,-369.839277,-30,-0.0225,25.004976,3.869469,-3.171428
2.8,12.325808,99.87037,-369.774239,-30,-0.023333,25.005086,3.920851,-3.241625
2.9,12.323676,99.865741,-369.710283,-30,-0.024167,25.005194,3.971151,-3.309946
3,12.32158,99.861111,-369.647387,-30,-0.025,25.005298,4.020391,-3.376467
3.1,12.319518,99.856481,-369.585528,-30,-0.025833,25.0054,4.068594,-3.441262
3.2,12.317489,99.851852,-369.524684,-30,-0.026667,25.005499,4.115784,-3.504399
3.3,12.315494,99.847222,-369.464832,-30,-0.0275,25.005595,4.16198,-3.565941
3.4,12.313532,99.842593,-369.405951,-30,-0.028333,25.00569,4.207206,-3.625948
3.5,12.311601,99.837963,-369.348021,-30,-0.029167,25.005781,4.251482,-3.684475
3.6,12.309701,99.833333,-369.29102,-30,-0.03,25.005871,4.294828,-3.741575
3.7,12.307831,99.828704,-369.234929,-30,-0.030833,25.005958,4.337264,-3.797297
3.8,12.305991,99.824074,-369.179729,-30,-0.031667,25.006044,4.37881,-3.851687
3.9,12.30418,99.819444,-369.125399,-30,-0.0325,25.006127,4.419485,-3.904789
4,12.302397,99.814815,-369.071922,-30,-0.033333,25.006208,4.459309,-3.956645
4.1,12.300643,99.810185,-369.019279,-30,-0.034167,25.006288,4.498298,-4.007293
4.2,12.298915,99.805556,-368.967451,-30,-0.035,25.006366,4.536472,-4.05677
4.3,12.297214,99.800926,-368.916422,-30,-0.035833,25.006441,4.573847,-4.105113
4.4,12.295539,99.796296,-368.866175,-30,-0.036667,25.006516,4.610441,-4.152354
4.5,12.29389,99.791667,-368.816691,-30,-0.0375,25.006588,4.646271,-4.198525
4.6,12.292265,99.787037,-368.767956,-30,-0.038333,25.006659,4.681353,-4.243657
4.7,12.290665,99.782407,-368.719952,-30,-0.039167,25.006728,4.715703,-4.287779
4.8,12.289089,99.777778,-368.672664,-30,-0.04,25.006796,4.749338,-4.330918
4.9,12.287536,99.773148,-368.626077,-30,-0.040833,25.006862,4.782272,-4.373102
5,12.286006,99.768519,-368.580176,-30,-0.041667,25.006927,4.81452,-4.414355
5.1,12.284498,99.763889,-368.534945,-30,-0.0425,25.00699,4.846098,-4.454702
5.2,12.283012,99.759259,-368.490371,-30,-0.043333,25.007052,4.87702,-4.494166
